8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-05-24-06:12:25, 55=AAPL, 40=2, 38=13576, 21=2, 11=algo20220524061225, 60=2022-05-24-06:12:25, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-05-24-06:12:25, 55=AAPL, 40=2, 38=13576, 21=2, 11=algo20220524061225, 60=2022-05-24-06:12:25, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2022-05-24-06:12:27, 55=MSFT, 40=2, 38=11257, 21=2, 11=algo20220524061227, 60=2022-05-24-06:12:27, 54=2, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2022-05-24-06:12:30, 55=AMZN, 40=2, 38=3785, 21=2, 11=algo20220524061230, 60=2022-05-24-06:12:30, 54=2, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2022-05-24-06:12:32, 55=FB, 40=2, 38=12831, 21=2, 11=algo20220524061232, 60=2022-05-24-06:12:32, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2022-05-24-06:12:32, 55=FB, 40=2, 38=12831, 21=2, 11=algo20220524061232, 60=2022-05-24-06:12:32, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-05-24-06:12:34, 55=GOOG, 40=2, 38=9497, 21=2, 11=algo20220524061234, 60=2022-05-24-06:12:34, 54=2, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2022-05-24-06:12:36, 55=GOOGL, 40=2, 38=31679, 21=2, 11=algo20220524061236, 60=2022-05-24-06:12:36, 54=2, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2022-05-24-06:12:39, 55=INTC, 40=2, 38=5708, 21=2, 11=algo20220524061239, 60=2022-05-24-06:12:39, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2022-05-24-06:12:41, 55=PEP, 40=2, 38=16078, 21=2, 11=algo20220524061241, 60=2022-05-24-06:12:41, 54=1, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2022-05-24-06:12:42, 55=NFLX, 40=2, 38=9474, 21=2, 11=algo20220524061242, 60=2022-05-24-06:12:42, 54=1, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2022-05-24-06:12:44, 55=CSCO, 40=2, 38=9041, 21=2, 11=algo20220524061244, 60=2022-05-24-06:12:44, 54=2, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2022-05-24-06:12:46, 55=AMGN, 40=2, 38=26410, 21=2, 11=algo20220524061246, 60=2022-05-24-06:12:46, 54=2, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=70, 49=M3, 56=MS, 52=2022-05-24-06:12:48, 55=PYPL, 40=2, 38=30552, 21=2, 11=algo20220524061248, 60=2022-05-24-06:12:48, 54=2, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2022-05-24-06:12:49, 55=TSLA, 40=2, 38=12421, 21=2, 11=algo20220524061249, 60=2022-05-24-06:12:49, 54=1, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2022-05-24-06:12:50, 55=TXN, 40=2, 38=26848, 21=2, 11=algo20220524061250, 60=2022-05-24-06:12:50, 54=2, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2022-05-24-06:12:52, 55=AVGO, 40=2, 38=15086, 21=2, 11=algo20220524061252, 60=2022-05-24-06:12:52, 54=2, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2022-05-24-06:12:55, 55=GILD, 40=2, 38=1463, 21=2, 11=algo20220524061255, 60=2022-05-24-06:12:55, 54=1, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2022-05-24-06:12:56, 55=SBUX, 40=2, 38=21812, 21=2, 11=algo20220524061256, 60=2022-05-24-06:12:56, 54=2, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2022-05-24-06:13:01, 55=QCOM, 40=2, 38=30000, 21=2, 11=algo20220524061301, 60=2022-05-24-06:13:01, 54=2, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2022-05-24-06:13:05, 55=TMUS, 40=2, 38=13851, 21=2, 11=algo20220524061305, 60=2022-05-24-06:13:05, 54=2, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2022-05-24-06:13:08, 55=MDLZ, 40=2, 38=21380, 21=2, 11=algo20220524061308, 60=2022-05-24-06:13:08, 54=2, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2022-05-24-06:13:11, 55=BAC, 40=2, 38=5785, 21=2, 11=algo20220524061311, 60=2022-05-24-06:13:11, 54=2, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2022-05-24-06:13:13, 55=DDD, 40=2, 38=20866, 21=2, 11=algo20220524061313, 60=2022-05-24-06:13:13, 54=1, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2022-05-24-06:13:15, 55=MMM, 40=2, 38=25320, 21=2, 11=algo20220524061315, 60=2022-05-24-06:13:15, 54=2, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2022-05-24-06:13:17, 55=WBAI, 40=2, 38=17562, 21=2, 11=algo20220524061317, 60=2022-05-24-06:13:17, 54=1, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2022-05-24-06:13:18, 55=WUBA, 40=2, 38=16409, 21=2, 11=algo20220524061318, 60=2022-05-24-06:13:18, 54=1, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2022-05-24-06:13:21, 55=EGHT, 40=2, 38=12434, 21=2, 11=algo20220524061321, 60=2022-05-24-06:13:21, 54=2, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2022-05-24-06:13:25, 55=AHC, 40=2, 38=12216, 21=2, 11=algo20220524061325, 60=2022-05-24-06:13:25, 54=2, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2022-05-24-06:13:26, 55=AOS, 40=2, 38=10117, 21=2, 11=algo20220524061326, 60=2022-05-24-06:13:26, 54=1, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2022-05-24-06:13:28, 55=ATEN, 40=2, 38=14624, 21=2, 11=algo20220524061328, 60=2022-05-24-06:13:28, 54=1, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2022-05-24-06:13:32, 55=AIR, 40=2, 38=13391, 21=2, 11=algo20220524061332, 60=2022-05-24-06:13:32, 54=1, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2022-05-24-06:13:35, 55=AAN, 40=2, 38=8855, 21=2, 11=algo20220524061335, 60=2022-05-24-06:13:35, 54=2, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=103, 49=M3, 56=MS, 52=2022-05-24-06:13:39, 55=ABB, 40=2, 38=30378, 21=2, 11=algo20220524061339, 60=2022-05-24-06:13:39, 54=1, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2022-05-24-06:13:41, 55=ABT, 40=2, 38=27015, 21=2, 11=algo20220524061341, 60=2022-05-24-06:13:41, 54=2, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2022-05-24-06:13:43, 55=ABBV, 40=2, 38=13865, 21=2, 11=algo20220524061343, 60=2022-05-24-06:13:43, 54=2, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2022-05-24-06:13:45, 55=ANF, 40=2, 38=853, 21=2, 11=algo20220524061345, 60=2022-05-24-06:13:45, 54=2, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2022-05-24-06:13:47, 55=ABM, 40=2, 38=6370, 21=2, 11=algo20220524061347, 60=2022-05-24-06:13:47, 54=1, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2022-05-24-06:13:50, 55=AAPL, 40=2, 38=28108, 21=2, 11=algo20220524061350, 60=2022-05-24-06:13:50, 54=1, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=115, 49=M3, 56=MS, 52=2022-05-24-06:13:52, 55=PEP, 40=2, 38=22346, 21=2, 11=algo20220524061352, 60=2022-05-24-06:13:52, 54=2, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=117, 49=M3, 56=MS, 52=2022-05-24-06:13:54, 55=, 40=2, 38=25861, 21=2, 11=algo20220524061354, 60=2022-05-24-06:13:54, 54=2, 44=, 10=0252,
